movie_id,title,year,rating,duration,metascore,actors
tt0102926,The Silence of the Lambs,1991,8.6,118,86,nm0000149:Jodie Foster|nm0000164:Anthony Hopkins|nm0001277:Scott Glenn|nm0505971:Ted Levine|nm0372217:Anthony Heald|nm0807548:Brooke Smith|nm0000832:Diane Baker|nm0501435:Kasi Lemmons|nm0621008:Charles Napier|nm0910145:Tracey Walter|nm0000339:Roger Corman|nm0891381:Ron Vawter|nm0201719:Danny Darst|nm1508029:Jeffrie Lane|nm0265670:Frankie Faison|nm0493684:Paul Lazar|nm0124873:Dan Butler|nm0001389:Chris Isaak
tt0047478,Shichinin no samurai,1956,8.6,207,98,nm0001536:Toshirô Mifune|nm0793766:Takashi Shimura|nm0875477:Keiko Tsushima|nm0793616:Yukiko Shimazaki|nm0297869:Kamatari Fujiwara|nm0441961:Daisuke Katô|nm0454087:Isao Kimura|nm0156928:Minoru Chiaki|nm0594348:Seiji Miyaguchi|nm0467566:Yoshio Kosugi|nm0383091:Bokuzen Hidari|nm0408343:Yoshio Inaba|nm0875237:Yoshio Tsuchiya|nm0462679:Kokuten Kôdô|nm0867391:Eijirô Tôno|nm0879918:Kichijirô Ueda|nm0851071:Jun Tatara|nm1226419:Atsushi Watanabe
tt0120815,Saving Private Ryan,1998,8.6,169,91,nm0000158:Tom Hanks|nm0000354:Matt Damon|nm0001744:Tom Sizemore|nm0122653:Edward Burns|nm0001608:Barry Pepper|nm0004965:Adam Goldberg|nm0004874:Vin Diesel|nm0000610:Giovanni Ribisi|nm0001111:Jeremy Davies|nm0001101:Ted Danson|nm0316079:Paul Giamatti|nm0001199:Dennis Farina|nm0821152:Joerg Stadler|nm0242882:Max Martini|nm0116465:Dylan Bruno|nm0148738:Daniel Cerqueira|nm0330983:Demetri Goritsas|nm0692139:Ian Porter
tt0120689,The Green Mile,1999,8.6,189,61,nm0000158:Tom Hanks|nm0003817:Michael Clarke Duncan|nm0001556:David Morse|nm0001372:Bonnie Hunt|nm0000342:James Cromwell|nm0005052:Michael Jeter|nm0001295:Graham Greene|nm0006535:Doug Hutchison|nm0005377:Sam Rockwell|nm0001608:Barry Pepper|nm0218810:Jeffrey DeMunn|nm0165101:Patricia Clarkson|nm0001765:Harry Dean Stanton|nm0339428:Dabbs Greer|nm0107573:Eve Brent|nm0006669:William Sadler|nm0587183:Mack Miles|nm0850847:Rai Tasco
tt0118799,La vita è bella,1997,8.6,116,58,nm0000905:Roberto Benigni|nm0000971:Nicoletta Braschi|nm0134493:Giorgio Cantarini|nm0243842:Giustino Durano|nm0082979:Sergio Bini Bustric|nm0004650:Marisa Paredes|nm0001976:Horst Buchholz|nm0019145:Lidia Alfonsi|nm0518057:Giuliana Lojodice|nm0284997:Amerigo Fontani|nm0211599:Pietro De Silva|nm0350147:Francesco Guzzo|nm0495476:Raffaella Lebboroni|nm0019142:Claudio Alfonsi|nm0056391:Gil Baroni|nm0080641:Massimo Bianchi|nm0092104:Jürgen Bohn|nm0120717:Verena Buratti
tt0317248,Cidade de Deus,2004,8.6,130,79,nm1179105:Alexandre Rodrigues|nm1129884:Leandro Firmino|nm0618690:Matheus Nachtergaele|nm1249574:Phellipe Haagensen|nm1179683:Douglas Silva|nm1178560:Jonathan Haagensen|nm1179580:Seu Jorge|nm1403603:Jefechander Suplino|nm0103797:Alice Braga|nm1248280:Emerson Gomes|nm0646663:Edson Oliveira|nm1249471:Michel Gomes|nm1368917:Roberta Rodrigues|nm1404223:Luis Otávio|nm1323565:Kiko Marques|nm1402033:Gustavo Engrácia|nm1130610:Darlan Cunha|nm1248992:Robson Rocha
tt0103064,Terminator 2: Judgment Day,1991,8.6,137,75,nm0000216:Arnold Schwarzenegger|nm0000157:Linda Hamilton|nm0000411:Edward Furlong|nm0001598:Robert Patrick|nm0091286:Earl Boen|nm0608012:Joe Morton|nm0580924:S. Epatha Merkerson|nm0346003:Castulo Guerra|nm0177528:Danny Cooksey|nm0001280:Jenette Goldstein|nm0075359:Xander Berkeley|nm0357696:Leslie Hamilton Gearren|nm0316480:Ken Gibbel|nm0935297:Robert Winley|nm0775623:Pete Schrum|nm0928630:Shane Wilder|nm0250218:Michael Edwards|nm0522027:Jared Lounsbery
tt0076759,Star Wars,1977,8.6,121,90,nm0000434:Mark Hamill|nm0000148:Harrison Ford|nm0000402:Carrie Fisher|nm0000027:Alec Guinness|nm0001088:Peter Cushing|nm0000355:Anthony Daniels|nm0048652:Kenny Baker|nm0562679:Peter Mayhew|nm0001190:David Prowse|nm0114436:Phil Brown|nm0292235:Shelagh Fraser|nm0701023:Jack Purvis|nm0567018:Alex McCrindle|nm0125952:Eddie Byrne|nm0377120:Drewe Henley|nm0493200:Denis Lawson|nm0353796:Garrick Hagon|nm0458161:Jack Klaff
tt0088763,Back to the Future,1985,8.5,116,87,nm0000150:Michael J. Fox|nm0000502:Christopher Lloyd|nm0000670:Lea Thompson|nm0000417:Crispin Glover|nm0001855:Tom Wilson|nm0920148:Claudia Wells|nm0566013:Marc McClure|nm0818274:Wendie Jo Sperber|nm0225191:George DiCenzo|nm0564589:Frances Lee McCain|nm0866055:James Tolkan|nm0169454:J.J. Cohen|nm0797150:Casey Siemaszko|nm0000708:Billy Zane|nm0914023:Harry Waters Jr.|nm0298412:Donald Fullilove|nm0293483:Lisa Freeman|nm0442022:Cristen Kauffman
tt0245429,Sen to Chihiro no kamikakushi,2003,8.6,124,96,nm0153738:Daveigh Chase|nm0687189:Suzanne Pleshette|nm0997115:Miyu Irino|nm0383708:Rumi Hiiragi|nm0622412:Mari Natsuki|nm0619822:Takashi Naitô|nm0768005:Yasuko Sawaguchi|nm0309107:Tatsuya Gashûin|nm1126340:Ryûnosuke Kamiki|nm1112144:Yumi Tamai|nm1126978:Yô Ôizumi|nm0370632:Koba Hayashi|nm0436639:Tsunehiko Kamijô|nm0648777:Takehiko Ono|nm0837420:Bunta Sugawara|nm6946829:Shigeru Wakita|nm1312191:Shirô Saitô|nm1829293:Michiko Yamamoto
